image_name,category,num_detections,max_confidence,failure_reason_memo,bbox_info
image1235.jpg,easy_success,3,0.8700,max_conf=0.870 >= 0.7,"[28, 49, 398, 1011],conf=0.870;[298, 21, 547, 1001],conf=0.842;[635, 194, 755, 846],conf=0.786"
image150.jpg,easy_success,2,0.8674,max_conf=0.867 >= 0.7,"[370, 221, 547, 531],conf=0.867;[220, 209, 455, 528],conf=0.867"
image231.jpg,hard_success,1,0.4817,"max_conf=0.482, 낮은 confidence로 검출","[3, 1, 631, 632],conf=0.482"
image257.jpg,easy_success,1,0.8994,max_conf=0.899 >= 0.7,"[222, 137, 452, 526],conf=0.899"
image381.jpg,easy_success,1,0.8479,max_conf=0.848 >= 0.7,"[190, 80, 569, 577],conf=0.848"
image460.jpg,easy_success,1,0.9002,max_conf=0.900 >= 0.7,"[199, 58, 444, 637],conf=0.900"
image616.jpg,easy_success,2,0.8970,max_conf=0.897 >= 0.7,"[311, 129, 552, 638],conf=0.897;[88, 248, 168, 638],conf=0.855"
image922.jpg,easy_success,1,0.9117,max_conf=0.912 >= 0.7,"[258, 52, 449, 371],conf=0.912"
image1024.jpeg,small_object,3,0.8649,최소 bbox 면적 비율 0.0115 < 0.02,"[77, 169, 289, 514],conf=0.865;[397, 209, 617, 514],conf=0.828;[0, 280, 36, 411],conf=0.273"
image1060.jpeg,easy_success,2,0.9295,max_conf=0.929 >= 0.7,"[403, 152, 578, 555],conf=0.929;[293, 129, 418, 557],conf=0.875"
image1070.jpg,easy_success,1,0.8961,max_conf=0.896 >= 0.7,"[172, 25, 459, 548],conf=0.896"
image1181.jpg,easy_success,10,0.8626,max_conf=0.863 >= 0.7,"[363, 311, 587, 767],conf=0.863;[57, 153, 282, 722],conf=0.830;[729, 169, 969, 767],conf=0.793;[935, 169, 1023, 625],conf=0.736;[584, 279, 692, 662],conf=0.735;[285, 280, 395, 614],conf=0.685;[0, 147, 84, 590],conf=0.577;[372, 234, 467, 614],conf=0.567;[680, 269, 753, 663],conf=0.423;[491, 228, 593, 631],conf=0.265"
image1219.jpg,easy_success,1,0.9492,max_conf=0.949 >= 0.7,"[176, 156, 780, 676],conf=0.949"
image1227.jpg,easy_success,1,0.9018,max_conf=0.902 >= 0.7,"[705, 98, 956, 831],conf=0.902"
image1232.jpg,easy_success,1,0.8810,max_conf=0.881 >= 0.7,"[85, 77, 660, 958],conf=0.881"
image1240.jpg,easy_success,1,0.9162,max_conf=0.916 >= 0.7,"[93, 2, 725, 671],conf=0.916"
image1260.jpg,easy_success,2,0.9136,max_conf=0.914 >= 0.7,"[555, 61, 874, 676],conf=0.914;[183, 39, 500, 667],conf=0.805"
image1287.jpg,easy_success,1,0.9345,max_conf=0.935 >= 0.7,"[78, 35, 664, 1021],conf=0.935"
image133.jpeg,easy_success,1,0.9171,max_conf=0.917 >= 0.7,"[275, 308, 364, 544],conf=0.917"
image1358.jpg,small_object,2,0.7536,최소 bbox 면적 비율 0.0126 < 0.02,"[3, 41, 484, 823],conf=0.754;[754, 138, 825, 324],conf=0.650"
image1363.jpg,hard_success,1,0.6170,"max_conf=0.617, 낮은 confidence로 검출","[35, 95, 801, 682],conf=0.617"
image1399.jpg,easy_success,1,0.8589,max_conf=0.859 >= 0.7,"[40, 13, 374, 391],conf=0.859"
image233.jpg,hard_success,1,0.3215,"max_conf=0.322, 낮은 confidence로 검출","[0, 66, 353, 634],conf=0.322"
image240.jpg,easy_success,1,0.8721,max_conf=0.872 >= 0.7,"[201, 12, 452, 523],conf=0.872"
image249.jpg,easy_success,1,0.8789,max_conf=0.879 >= 0.7,"[204, 141, 338, 342],conf=0.879"
image283.jpg,easy_success,1,0.8492,max_conf=0.849 >= 0.7,"[73, 34, 412, 597],conf=0.849"
image327.jpeg,easy_success,1,0.8683,max_conf=0.868 >= 0.7,"[275, 125, 422, 606],conf=0.868"
image332.jpg,easy_success,1,0.8912,max_conf=0.891 >= 0.7,"[117, 84, 355, 639],conf=0.891"
image429.jpg,easy_success,1,0.8269,max_conf=0.827 >= 0.7,"[267, 180, 398, 606],conf=0.827"
image435.jpg,easy_success,1,0.9137,max_conf=0.914 >= 0.7,"[86, 27, 383, 585],conf=0.914"
image436.jpg,easy_success,1,0.8224,max_conf=0.822 >= 0.7,"[178, 33, 376, 627],conf=0.822"
image504.jpg,easy_success,1,0.7745,max_conf=0.775 >= 0.7,"[201, 0, 525, 567],conf=0.775"
image528.jpg,hard_success,1,0.3778,"max_conf=0.378, 낮은 confidence로 검출","[160, 157, 470, 634],conf=0.378"
image642.jpeg,small_object,2,0.7071,최소 bbox 면적 비율 0.0074 < 0.02,"[312, 257, 346, 357],conf=0.707;[217, 300, 263, 366],conf=0.295"
